name,version,license,repository,source,note
"@ant-design/colors","6.0.0","MIT","https://github.com/ant-design/ant-design-colors","bundled",""
"@ant-design/css-animation","1.7.3","MIT","git@github.com:ant-design/css-animation","bundled",""
"@ant-design/icons","4.6.2","MIT","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react","bundled",""
"@ant-design/icons-svg","4.1.0","MIT","https://github.com/ant-design/ant-design-icons","bundled",""
"@babel/runtime","7.28.4","MIT","https://github.com/babel/babel","on-disk+bundled",""
"@colors/colors","1.6.0","MIT","http://github.com/DABH/colors.js","on-disk",""
"@ctrl/tinycolor","3.4.0","MIT","scttcper/tinycolor","bundled",""
"@dabh/diagnostics","2.0.3","MIT","git://github.com/3rd-Eden/diagnostics","on-disk",""
"@electron/remote","2.1.2","MIT","https://github.com/electron/remote","on-disk",""
"@gar/promise-retry","1.0.3","MIT","git://github.com/wraithgar/node-promise-retry","on-disk",""
"@google-cloud/promisify","4.0.0","Apache-2.0","googleapis/nodejs-promisify","on-disk",""
"@google-cloud/vision","4.3.2","Apache-2.0","https://github.com/googleapis/google-cloud-node","on-disk",""
"@grpc/grpc-js","1.12.2","Apache-2.0","https://github.com/grpc/grpc-node/tree/master/packages/grpc-js","on-disk",""
"@grpc/proto-loader","0.7.13","Apache-2.0","https://github.com/grpc/grpc-node","on-disk",""
"@img/sharp-win32-x64","0.33.5","Apache-2.0 AND LGPL-3.0-or-later","https://github.com/lovell/sharp","on-disk",""
"@inworld/nodejs-sdk","1.16.1-beta.0","SEE LICENSE IN LICENSE.md","https://github.com/inworld-ai/inworld-nodejs-sdk","on-disk",""
"@isaacs/fs-minipass","4.0.1","ISC","https://github.com/npm/fs-minipass","on-disk",""
"@js-sdsl/ordered-map","4.4.2","MIT","https://github.com/js-sdsl/js-sdsl","on-disk",""
"@npmcli/agent","4.0.0","ISC","https://github.com/npm/agent","on-disk",""
"@npmcli/fs","5.0.0","ISC","https://github.com/npm/fs","on-disk",""
"@npmcli/redact","4.0.0","ISC","https://github.com/npm/redact","on-disk",""
"@protobufjs/aspromise","1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/base64","1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/codegen","2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/eventemitter","1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/fetch","1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/float","1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/inquire","1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/path","1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/pool","1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@protobufjs/utf8","1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js","on-disk",""
"@realm/fetch","0.1.1","Apache-2.0","","on-disk","Undeclared in npm metadata; published from the Apache-2.0 realm-js monorepo (dep of realm)"
"@sentry/browser","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@sentry/core","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@sentry/hub","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@sentry/integrations","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@sentry/minimal","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@sentry/types","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@sentry/utils","5.21.4","BSD-3-Clause","git://github.com/getsentry/sentry-javascript","bundled",""
"@types/caseless","0.12.1","MIT","https://www.github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/color-name","1.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/long","4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/node","12.12.54","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/node-fetch","2.6.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/request","2.48.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/semver","7.7.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"@types/tough-cookie","2.3.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped.git","on-disk",""
"@types/triple-beam","1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","on-disk",""
"abbrev","4.0.0","ISC","https://github.com/npm/abbrev-js","on-disk",""
"abort-controller","3.0.0","MIT","https://github.com/mysticatea/abort-controller","on-disk",""
"after","0.8.2","MIT","git://github.com/Raynos/after","on-disk",""
"agent-base","7.1.4","MIT","https://github.com/TooTallNate/proxy-agents","on-disk",""
"agentkeepalive","4.6.0","MIT","git://github.com/node-modules/agentkeepalive","on-disk",""
"ansi-regex","5.0.1","MIT","chalk/ansi-regex","on-disk",""
"ansi-styles","4.2.1","MIT","chalk/ansi-styles","on-disk",""
"antd","4.16.7","MIT","https://github.com/ant-design/ant-design","bundled",""
"archiver","2.1.1","MIT","https://github.com/archiverjs/node-archiver","on-disk",""
"archiver-utils","1.3.0","MIT","https://github.com/archiverjs/archiver-utils","on-disk",""
"argparse","2.0.1","Python-2.0","nodeca/argparse","on-disk",""
"arraybuffer.slice","0.0.7","MIT","git@github.com:rase-/arraybuffer.slice","on-disk",""
"async","2.6.4","MIT","https://github.com/caolan/async","on-disk",""
"async-function","1.0.0","MIT","https://github.com/ljharb/async-function","on-disk",""
"async-generator-function","1.0.0","MIT","https://github.com/ljharb/async-generator-function","on-disk",""
"async-limiter","1.0.1","MIT","https://github.com/strml/async-limiter","on-disk",""
"asynckit","0.4.0","MIT","https://github.com/alexindigo/asynckit","on-disk",""
"at-least-node","1.0.0","ISC","https://github.com/RyanZim/at-least-node","on-disk",""
"available-typed-arrays","1.0.5","MIT","https://github.com/inspect-js/available-typed-arrays","on-disk",""
"aws-sdk","2.1443.0","Apache-2.0","git://github.com/aws/aws-sdk-js","on-disk",""
"backo2","1.0.2","MIT","mokesmokes/backo","on-disk",""
"balanced-match","4.0.4","MIT","git://github.com/juliangruber/balanced-match","on-disk+bundled",""
"base64-arraybuffer","0.1.4","MIT","https://github.com/niklasvh/base64-arraybuffer","on-disk",""
"base64-js","1.5.1","MIT","git://github.com/beatgammit/base64-js","on-disk",""
"bignumber.js","9.1.2","MIT","https://github.com/MikeMcl/bignumber.js","on-disk",""
"bindings","1.5.0","MIT","git://github.com/TooTallNate/node-bindings","on-disk",""
"bl","4.1.0","MIT","https://github.com/rvagg/bl","on-disk",""
"blob","0.0.5","MIT","git://github.com/webmodules/blob","on-disk",""
"brace-expansion","5.0.5","MIT","ssh://git@github.com/juliangruber/brace-expansion","on-disk+bundled",""
"bson","4.7.2","Apache-2.0","mongodb/js-bson","on-disk",""
"buffer","5.7.1","MIT","git://github.com/feross/buffer","on-disk",""
"buffer-alloc","1.2.0","MIT","LinusU/buffer-alloc","on-disk",""
"buffer-alloc-unsafe","1.1.0","MIT","LinusU/buffer-alloc-unsafe","on-disk",""
"buffer-crc32","0.2.13","MIT","git://github.com/brianloveswords/buffer-crc32","on-disk",""
"buffer-equal-constant-time","1.0.1","BSD-3-Clause","git@github.com:goinstant/buffer-equal-constant-time","on-disk",""
"buffer-fill","1.0.0","MIT","LinusU/buffer-fill","on-disk",""
"buffer-from","1.1.1","MIT","LinusU/buffer-from","on-disk",""
"builder-util-runtime","8.9.2","MIT","https://github.com/electron-userland/electron-builder","on-disk",""
"bytes","3.1.1","MIT","visionmedia/bytes.js","bundled",""
"cacache","20.0.4","ISC","https://github.com/npm/cacache","on-disk",""
"call-bind","1.0.2","MIT","https://github.com/ljharb/call-bind","on-disk",""
"call-bind-apply-helpers","1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers","on-disk",""
"charenc","0.0.2","BSD-3-Clause","git://github.com/pvorb/node-charenc","on-disk",""
"chownr","3.0.0","BlueOak-1.0.0","git://github.com/isaacs/chownr","on-disk",""
"classnames","2.2.6","MIT","https://github.com/JedWatson/classnames","bundled",""
"cliui","8.0.1","ISC","yargs/cliui","on-disk",""
"clsx","1.2.1","MIT","lukeed/clsx","bundled",""
"codemirror","5.63.1","MIT","https://github.com/codemirror/CodeMirror","bundled",""
"color","4.2.3","MIT","Qix-/color","on-disk",""
"color-convert","2.0.1","MIT","Qix-/color-convert","on-disk",""
"color-name","1.1.4","MIT","git@github.com:colorjs/color-name","on-disk",""
"color-string","1.9.1","MIT","Qix-/color-string","on-disk",""
"colorspace","1.1.4","MIT","https://github.com/3rd-Eden/colorspace","on-disk",""
"combined-stream","1.0.8","MIT","git://github.com/felixge/node-combined-stream","on-disk",""
"component-bind","1.0.0","MIT","https://github.com/component/bind","on-disk","README states MIT; no license field/file"
"component-emitter","1.3.0","MIT","https://github.com/component/emitter","on-disk",""
"component-inherit","0.0.3","MIT","https://github.com/component/inherit","on-disk","README states MIT; no license field/file"
"compress-commons","1.2.2","MIT","https://github.com/archiverjs/node-compress-commons","on-disk",""
"concat-map","0.0.1","MIT","git://github.com/substack/node-concat-map","bundled",""
